,recall,precision
0,0.0,0.8
1,0.12121212121212122,0.8
2,0.36363636363636365,0.6
3,0.42424242424242425,0.3888888888888889
4,0.45454545454545453,0.38461538461538464
5,0.6060606060606061,0.32786885245901637
6,0.696969696969697,0.26744186046511625
7,0.8181818181818182,0.2872340425531915
8,0.8787878787878788,0.29591836734693877
9,0.9090909090909091,0.2702702702702703
10,0.9090909090909091,0.25
11,0.9090909090909091,0.23622047244094488
12,0.9090909090909091,0.22556390977443608
13,0.9090909090909091,0.21739130434782608
14,0.9090909090909091,0.20833333333333334
15,0.9393939393939394,0.2052980132450331
16,0.9393939393939394,0.20394736842105263
17,0.9393939393939394,0.19745222929936307
18,0.9393939393939394,0.19254658385093168
19,0.9393939393939394,0.18452380952380953
20,0.9393939393939394,0.1834319526627219
21,0.9393939393939394,0.18128654970760233
22,0.9393939393939394,0.17415730337078653
23,0.9393939393939394,0.1712707182320442
24,0.9393939393939394,0.16847826086956522
25,0.9393939393939394,0.16489361702127658
26,0.9393939393939394,0.16230366492146597
27,0.9393939393939394,0.15979381443298968
28,0.9393939393939394,0.15897435897435896
29,0.9393939393939394,0.15736040609137056
30,0.9393939393939394,0.15577889447236182
31,0.9393939393939394,0.155
32,0.9393939393939394,0.15196078431372548
33,0.9393939393939394,0.15121951219512195
34,0.9393939393939394,0.15048543689320387
35,0.9393939393939394,0.1497584541062802
36,0.9393939393939394,0.14691943127962084
37,0.9393939393939394,0.14622641509433962
38,0.9393939393939394,0.14485981308411214
39,0.9393939393939394,0.14418604651162792
40,0.9393939393939394,0.14285714285714285
41,0.9393939393939394,0.14220183486238533
42,0.9393939393939394,0.1409090909090909
43,0.9393939393939394,0.14027149321266968
44,0.9393939393939394,0.13963963963963963
45,0.9393939393939394,0.13839285714285715
46,0.9393939393939394,0.13777777777777778
47,0.9393939393939394,0.13716814159292035
48,0.9393939393939394,0.13656387665198239
49,0.9393939393939394,0.13478260869565217
50,0.9393939393939394,0.13304721030042918
51,0.9393939393939394,0.13247863247863248
52,0.9393939393939394,0.13135593220338984
53,0.9393939393939394,0.1308016877637131
54,0.9393939393939394,0.13025210084033614
55,0.9696969696969697,0.13389121338912133
56,0.9696969696969697,0.13278008298755187
57,0.9696969696969697,0.1322314049586777
58,0.9696969696969697,0.13114754098360656
59,0.9696969696969697,0.13008130081300814
60,0.9696969696969697,0.12955465587044535
61,0.9696969696969697,0.12903225806451613
62,0.9696969696969697,0.1285140562248996
63,0.9696969696969697,0.128
64,0.9696969696969697,0.12749003984063745
65,0.9696969696969697,0.12698412698412698
66,0.9696969696969697,0.12648221343873517
67,0.9696969696969697,0.1245136186770428
68,0.9696969696969697,0.12403100775193798
69,0.9696969696969697,0.12355212355212356
70,0.9696969696969697,0.12307692307692308
71,0.9696969696969697,0.12213740458015267
72,0.9696969696969697,0.12167300380228137
73,0.9696969696969697,0.12075471698113208
74,0.9696969696969697,0.1198501872659176
75,0.9696969696969697,0.11940298507462686
76,0.9696969696969697,0.11808118081180811
77,0.9696969696969697,0.11764705882352941
78,1.0,0.12087912087912088
79,1.0,0.12043795620437957
80,1.0,0.11913357400722022
81,1.0,0.11827956989247312
82,1.0,0.11743772241992882
83,1.0,0.11702127659574468
84,1.0,0.1166077738515901
85,1.0,0.11619718309859155
86,1.0,0.11578947368421053
87,1.0,0.11538461538461539
88,1.0,0.11498257839721254
89,1.0,0.11458333333333333
